Date,User,IsVerified,Tweet,Likes,RT,User_location
,ACHAL TREHAN,False,@Shehzad_Ind Handsome Boy Shahzad . You speak very well,0,0,NEW DELHI
,TickerSignals,False,"$LSK: Signal for LSK-ETH https://t.co/W9bahWGvtT

Price: 0.0007081 
Sup: 0.0007057
Res: 0.0008285

0.34% above supp… https://t.co/cIJl4Z6fgI",0,0,Earth
,Dan Fuller,False,"Today, we’re placing Humberto Salicetti, Slalom’s new Managing Director, in the spotlight. With over 25 years of ex… https://t.co/AQQDYIh6RP",0,0,"Marshfield, MA"
,Dan Greenberg,True,"BOS/MIL/PHI all have 30 Ls

BOS: MIL/MEM
MIL: BOS/DET/CLE
PHI: TOR/IND/DET

If BOS loses their final 2, you then ne… https://t.co/55YqYte9HK",6,1,Hub
,Sashind Ningthoukhongjam,False,"If restaurants can co-exist with Swiggy and Zomato, why can't multiplexes live with OTT platforms?

Editor's pick… https://t.co/SKouYqiEfA",0,0,
,S Mukherjee,False,@shantanug_ @maha_tourism @poonam_mahajan @Madhukeshwar @tuhins @NidhiKamdarMH @malhar_pandey @SushantBSinha… https://t.co/ocNUodSa3j,0,0,"Sydney, NSW/ Pune, Maharashtra"
,Azaan,False,@KapilMishra_IND Get a life,0,0,
,Pankaj Kudiya,False,@PoojaAS__Ind @Shehzad_Ind Happy birthday ji,0,0,"Sangam Vihar, New Delhi"
,Bijarniyan 🇨🇳,False,@CaptainAbhi_IND I admire china,0,0,Kingdom of Marwar 
,Sonika Pal,False,@drvsharma99 @PavanRanaRSS @ianuragthakur @jairamthakurbjp @himachalkesari @DhumalHP @PMOIndia @narendramodi… https://t.co/it8qnDtav0,0,0,u.p muzaffer nagar
,Crypto-News,False,"South Bend, Ind., 7th April, 2022, Chainwire

Kemper Snowboards, the legendary brand that helped launch the snowboa… https://t.co/vRdpM97V3i",0,0,Facebook.com/criptikos
,Crypto-News,False,"The advocacy group Crypto Market Integrity Coalition (CMIC) has incorporated 13 new members, among them Gemini, Cha… https://t.co/Yut5rY8KlA",0,0,Facebook.com/criptikos
,Bahniman Das,False,@Sleet_Shah Life is a book filled with your deeds!!,0,0,
,Dusa_/TaRATata\_,False,@Rich2porterahah @nouvvo B o u l o t,0,0,
,EX GOP,False,@benamckee @GovRonDeSantis They have same rights as me.  Do not give special rights,0,0,
,AJIT MEENA,False,"@PoojaAS__Ind 
Happy birthday 💐💐🎉🎉",0,0,jamwaramghar Jaipur Rajsthan
,AJIT MEENA,False,@BeingBihar_ @PoojaAS__Ind Happy birthday 🎉🎉🎇,0,0,jamwaramghar Jaipur Rajsthan
,shashikant shelar🏹,False,"UPA charging 4.80 Rupees Tax on fuel was robbery..

NDA charging 64 Rupees tax on fuel is Vikaas…
@Shehzad_Ind… https://t.co/zYvU1qskFa",0,0,"Nasik,Maharashtra, India"
,ಅಖಂಡ ಭಾರತ Akanda Bharat,False,@FireBall00007 @KapilMishra_IND Which place and who is this,0,0,
,CSIR-IGIB,False,"(1/n) As we celebrate the 46th Foundation Day of CSIR-IGIB, let us take you down the memory lane. 

What started ou… https://t.co/pnpiBQ9JcT",3,2,"Delhi, India"
,🏵️अवनीश मणि त्रिपाठी🏵️,False,@PoojaAS__Ind Happy Birthday 💐💐💐🎉🎉🎂🎂,1,0,"उत्तर प्रदेश, गोरखपुर "
,Robin Saroy,False,@imlaiba_ Come Ind asap,0,0,"ਪੰਜਾਬ,India 🇮🇳"
,S L CHOUDHARY🍁,False,@PoojaAS__Ind Marriage And Birthday dono ka Congratulations...☺️🙏,0,0,"Rajasthan,India"
,Aryan,False,@hi_essdee @AnupamPKher Befitting reply boss 😆,0,0,
,Shubham🇮🇳,False,@AshokPawarMLA AAP govt in Delhi led by @ArvindKejriwal and @msisodia has been doing a remarkable job in education… https://t.co/tXVVZ5bCmO,8,1,Aukaat
,EX GOP,False,@CarlBovisNature A wren,0,0,
,Singh,False,@NMMTA_Assn @MoHFW_INDIA @OfficeOf_MM @mansukhmandviya @PMOIndia @narendramodi Lively hood of PhD medical doctors h… https://t.co/RgVLdRfrNH,0,0,india
,Ridhi's Kuri🌸,False,@Farzana_Ind Voldemort,1,0,Home is where Ridhi is 
,Mohan Mav,False,@lkantbhardwaj @pratiksinghi @RahulGandhi @BJP4Rajasthan @ianuragthakur @chshekharbjp @Shehzad_Ind @AshokShrivasta6… https://t.co/YFqAcXQnw9,0,0,
